"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"E5AQBX4N","journalArticle","","Da Re, Daniele; Bourguignon, Pierre; Thanapongtharm, Weerapong; Chaiban, Celia; Robinson, T. P.; Gilbert, Marius; Vanwambeke, Sophie O","Dealing with the modifiable areal unit problem in livestock distribution dowscaling models","","","","","","","In progress","2017-12-06 10:11:15","2017-12-06 10:13:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QK28TDSJ","journalArticle","2018","Nicolas, Gaëlle; Tisseuil, Clément; Conte, Annamaria; Allepuz, Alberto; Pioz, Maryline; Lancelot, Renaud; Gilbert, Marius","Environmental heterogeneity and variations in the velocity of bluetongue virus spread in six European epidemics","Preventive Veterinary Medicine","","0167-5877","10.1016/j.prevetmed.2017.11.005","https://www.sciencedirect.com/science/article/pii/S0167587717304245","Several epidemics caused by different bluetongue virus (BTV) serotypes occurred in European ruminants since the early 2000. Studies on the spatial distribution of these vector-borne infections and the main vector species highlighted contrasted eco-climatic regions characterized by different dominant vector species. However, little work was done regarding the factors associated with the velocity of these epidemics. In this study, we aimed to quantify and compare the velocity of BTV epidemic that have affected different European countries under contrasted eco-climatic conditions and to relate these estimates to spatial factors such as temperature and host density. We used the thin plate spline regression interpolation method in combination with trend surface analysis to quantify the local velocity of different epidemics that have affected France (BTV-8 2007–2008, BTV-1 2008–2009), Italy (BTV-1 2014), Andalusia in Spain (BTV-1 2007) and the Balkans (BTV-4 2014). We found significant differences in the local velocity of BTV spread according to the country and epidemics, ranging from 7.9 km/week (BTV-1 2014 Italy) to 24.4 km/week (BTV-1 2008 France). We quantify and discuss the effect of temperature and local host density on this velocity.","2018-01-01","2017-11-13 08:12:53","2017-11-13 08:12:53","2017-11-13 08:12:53","1-9","","","149","","Preventive Veterinary Medicine","","","","","","","","","","","","","ScienceDirect","","","","/Users/simondellicour/Zotero/storage/GA23HHRV/Nicolas et al. - 2018 - Environmental heterogeneity and variations in the .pdf","","","spatial epidemiology; Bluetongue; Disease Vectors; Spread rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTN2X45J","journalArticle","2007","Xiao, Xiangming; Gilbert, Marius; Slingenbergh, Jan; Lei, Fumin; Boles, Stephen","Remote sensing, ecological variables, and wild bird migration related to outbreaks of highly pathogenic H5N1 avian influenza","Journal of wildlife diseases","","","","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2735754/","","2007","2016-09-30 05:13:10","2016-09-30 05:13:10","2016-09-30 05:13:10","40","","1","43","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/C56FXVFH/2007XiaoHPAIWetlandsRice.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNUM59R2","journalArticle","2007","Piel, Frédéric; Gilbert, Marius; De Cannière, Charles; Grégoire, Jean-Claude","Coniferous round wood imports from Russia and Baltic countries to Belgium. A pathway analysis for assessing risks of exotic pest insect introductions: Pathway analysis","Diversity and Distributions","","13669516, 14724642","10.1111/j.1472-4642.2007.00390.x","http://doi.wiley.com/10.1111/j.1472-4642.2007.00390.x","","2007-06-26","2016-09-30 05:13:02","2016-09-30 05:13:02","2016-09-30 05:13:02","318-328","","2","14","","","Coniferous round wood imports from Russia and Baltic countries to Belgium. A pathway analysis for assessing risks of exotic pest insect introductions","","","","","","","en","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/6ISP5AAR/2007PielPathways.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M26MJNJ4","journalArticle","2007","Gilbert, Marius; Xiao, Xiangming; Chaitaweesub, Prasit; Kalpravidh, Wantanee; Premashthira, Sith; Boles, Stephen; Slingenbergh, Jan","Avian influenza, domestic ducks and rice agriculture in Thailand","Agriculture, Ecosystems & Environment","","01678809","10.1016/j.agee.2006.09.001","http://linkinghub.elsevier.com/retrieve/pii/S0167880906003136","","2007-03","2016-09-30 05:12:53","2016-09-30 05:12:53","2016-09-30 05:12:53","409-415","","3-4","119","","","","","","","","","","en","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/RJ4FP6US/2007GilbertDuRiceAGEE.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33UCW4P7","journalArticle","2006","Warzée, Nathalie; Gilbert, Marius; Grégoire, Jean-Claude","Predator/prey ratios: a measure of bark-beetle population status influenced by stand composition in different French stands after the 1999 storms","Annals of Forest Science","","1286-4560, 1297-966X","10.1051/forest:2006009","http://www.edpsciences.org/10.1051/forest:2006009","","2006-04","2016-09-30 05:12:24","2016-09-30 05:12:24","2016-09-30 05:12:24","301-308","","3","63","","","Predator/prey ratios","","","","","","","","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/7DT7EJFJ/2006Warzee.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U35NTVJ7","journalArticle","2006","Gilbert, Marius; Xiao, Xiangming; Domenech, Joseph; Lubroth, Juan; Martin, Vincent; Slingenbergh, Jan; others","Anatidae migration in the western Palearctic and spread of highly pathogenic avian influenza H5N1 virus","Emerg Infect Dis","","","","http://wwwnc.cdc.gov/eid/article/12/11/06-0223_article","","2006","2016-09-30 05:11:23","2016-09-30 05:11:23","2016-09-30 05:11:23","1650–1656","","11","12","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/GJSWAFM5/2006GilbertHPAIWSLEID.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJ8BPSBJ","journalArticle","2005","Tiensin, Thanawat; Chaitaweesub, Prasit; Songserm, Thaweesak; Chaisingh, Arunee; Hoonsuwan, Wirongrong; Buranathai, Chantanee; Parakamawongsa, Tippawon; Premashthira, Sith; Amonsin, Alongkorn; Gilbert, Marius; others","Highly pathogenic avian influenza H5N1, Thailand, 2004","Emerg Infect Dis","","","","https://dspace.library.uu.nl:8443/bitstream/handle/1874/209844/tiensin.pdf?sequence=2#page=25","","2005","2016-09-30 05:10:24","2016-09-30 05:10:24","2016-09-30 05:10:24","1664–1672","","11","11","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/8DSXDA5Q/2005Tiensin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T254ZEAS","journalArticle","2005","Theunis, L.; Gilbert, M.; Roisin, Y.; Leponce, M.","Spatial structure of litter-dwelling ant distribution in a subtropical dry forest","Insectes Sociaux","","0020-1812, 1420-9098","10.1007/s00040-005-0822-0","http://link.springer.com/10.1007/s00040-005-0822-0","","2005-11","2016-09-30 05:10:13","2016-09-30 05:10:13","2016-09-30 05:10:13","366-377","","4","52","","","","","","","","","","en","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/FC4N7NZW/2005Theunis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMFEBD7W","journalArticle","2005","Piel, Frédéric; Gilbert, Marius; Franklin, Anne; Grégoire, Jean-Claude","Occurrence of Ips typographus (Col., Scolytidae) along an urbanization gradient in Brussels, Belgium","Agricultural and Forest Entomology","","","","http://onlinelibrary.wiley.com/doi/10.1111/j.1461-9555.2005.00262.x/full","","2005","2016-09-30 05:10:04","2016-09-30 05:10:04","2016-09-30 05:10:04","161–167","","2","7","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/8QQGWC6T/2005PielITypoBru.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIPVFRE7","journalArticle","2005","Mitchell, Andrew; Bourn, David; Mawdsley, J.; Wint, William; Clifton-Hadley, Richard; Gilbert, Marius","Characteristics of cattle movements in Britain–an analysis of records from the Cattle Tracing System","Animal Science","","","","http://journals.cambridge.org/abstract_S1357729805000317","","2005","2016-09-30 05:09:53","2016-09-30 05:09:53","2016-09-30 05:09:53","265–273","","03","80","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/XKCG3XVJ/2005MitchellCTSUK.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BC75RCWE","journalArticle","2005","Maes, Dirk; Bauwens, Dirk; De Bruyn, Luc; Anselin, Anny; Vermeersch, Glenn; Van Landuyt, Wouter; De Knijf, Geert; Gilbert, Marius","Species richness coincidence: conservation strategies based on predictive modelling","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-004-9662-x","http://link.springer.com/10.1007/s10531-004-9662-x","","2005-06","2016-09-30 05:09:41","2016-09-30 05:09:41","2016-09-30 05:09:41","1345-1364","","6","14","","","Species richness coincidence","","","","","","","en","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/TFAP64DD/2005MaesTaxGroupsBelgium.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVEHSF6K","journalArticle","2005","Gilbert, M.; Aktas, S.; Mohammed, H.; Roeder, P.; Sumption, K.; Tufan, M.; Slingenbergh, J.","Patterns of spread and persistence of foot-and-mouth disease types A, O and Asia-1 in Turkey: a meta-population approach","Epidemiology and Infection","","0950-2688, 1469-4409","10.1017/S0950268804003516","http://www.journals.cambridge.org/abstract_S0950268804003516","","2005-06","2016-09-30 05:09:17","2016-09-30 05:09:17","2016-09-30 05:09:17","537-545","","3","133","","","Patterns of spread and persistence of foot-and-mouth disease types A, O and Asia-1 in Turkey","","","","","","","en","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/AC4SS6QU/2005GilbertFMDTurkey.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQ4SG76M","journalArticle","2005","Gilbert, M.; Mitchell, A.; Bourn, D.; Mawdsley, J.; Clifton-Hadley, R.; Wint, W.","Cattle movements and bovine tuberculosis in Great Britain","Nature","","0028-0836, 1476-4679","10.1038/nature03548","http://www.nature.com/doifinder/10.1038/nature03548","","2005-05-26","2016-09-30 05:09:05","2016-09-30 05:09:05","2016-09-30 05:09:05","491-496","","7041","435","","","","","","","","","","","","","","","CrossRef","","","","/Users/simondellicour/Zotero/storage/BJWPTJX2/2005GilbertBTBUKNature.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E44WWUGZ","journalArticle","2004","Slingenbergh, Jan; Gilbert, Marius; Balogh, K. de; Wint, William","Ecological sources of zoonotic diseases","Revue scientifique et technique-Office international des épizooties","","","","https://www.researchgate.net/profile/Marius_Gilbert/publication/8029658_Ecological_sources_of_zoonotic_diseases._Rev_Sci_Tech/links/0deec523ff413bf8bc000000.pdf","","2004","2016-09-30 05:08:20","2016-09-30 05:08:20","2016-09-30 05:08:20","467–484","","2","23","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/KPQU34U7/2004SlingenberghEmergZoonoses.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETBMKMHQ","journalArticle","2004","Gilbert, Marius; Grégoire, J.-C.; Freise, J. F.; Heitland, Werner","Long-distance dispersal and human population density allow the prediction of invasive patterns in the horse chestnut leafminer Cameraria ohridella","Journal of Animal Ecology","","","","http://onlinelibrary.wiley.com/doi/10.1111/j.0021-8790.2004.00820.x/full","","2004","2016-09-30 05:08:14","2016-09-30 05:08:14","2016-09-30 05:08:14","459–468","","3","73","","","","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/H4Z9A76K/2004GilbertCoGermany.pdf","","modelling-invasions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NB3H8IK","journalArticle","2004","Augustin, Sylvie; Guichard, Soraya; Svatoš, Aleš; Gilbert, Marius","Monitoring the regional spread of the invasive leafminer Cameraria ohridella (Lepidoptera: Gracillariidae) by damage assessment and pheromone trapping","Environmental entomology","","","","http://ee.oxfordjournals.org/content/33/6/1584.abstract","","2004","2016-09-30 05:07:48","2016-09-30 05:07:48","2016-09-30 05:07:48","1584–1592","","6","33","","","Monitoring the regional spread of the invasive leafminer Cameraria ohridella (Lepidoptera","","","","","","","","","","","","Google Scholar","","","","/Users/simondellicour/Zotero/storage/NCRBUVV5/2004AugustinCoReg.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
